品牌,型号,颜色,系统,价格,月成交纪录,累计评价,手机类型,电池类型,核心数,电池容量,机身款式,键盘类型,厚度,后置摄像头,摄像头类型,视频显示格式,机身内存,运行内存,尺寸,触屏类型,分辨率,收藏人气,字段25
 Apple/苹果, iPhone&nbsp;6s, 玫瑰金色 深空灰色 金色 银色, IOS9,6088.00,10351,, 不详, 不详, 64&nbsp;位架构的&nbsp;A9&nbsp;芯片&nbsp;嵌入式&nbsp;M9&nbsp;运动协处理器, 1715mAh, 不详, 不详, 7.1毫米（0.28英寸）, 1200万, 双摄像头（前后）, 不详, 16GB 64GB 128GB, 不详, 4.7英寸, 具备&nbsp;3D&nbsp;Touch&nbsp;技术的&nbsp;Retina&nbsp;HD&nbsp;显示屏, 1334&nbsp;x&nbsp;750&nbsp;像素分辨率，326?ppi,（42096人气）,
 Apple/苹果, iPhone&nbsp;6, 银色 深空灰色 金色, iOS,4488.00,3933,, 不详, 不可拆卸式电池, 双核心, 1.4GHz,, 直板, 虚拟触屏键盘,, 800万, 双摄像头（前后）, 16GB 64GB 128GB, 1GB, 4.7英寸, 不详, 1334×750,（211966人气）,
 Apple/苹果, iPhone&nbsp;6s&nbsp;Plus, 玫瑰金色 深空灰色 金色 银色, IOS9,5988.00,4310,, 拍照手机 音乐手机 智能手机 3G手机 4G手机, 不详, 64&nbsp;位架构的&nbsp;A9&nbsp;芯片&nbsp;嵌入式&nbsp;M9&nbsp;运动协处理器, 1810mAh, 直板, 不详, 7.3毫米（0.29英寸）, 1200万, 双摄像头（前后）, 不详, 16GB 64GB 128GB, 不详, 5.5英寸, 具备&nbsp;3D&nbsp;Touch&nbsp;技术的&nbsp;Retina&nbsp;HD&nbsp;显示屏, 1920&nbsp;x&nbsp;1080&nbsp;像素分辨率，401?ppi,（11669人气）,
 Huawei/华为, 荣耀7, 玫瑰金 荣耀金 典雅灰 冰河银, Android/安卓,2299.00-2999.00,25700,, 拍照手机 音乐手机 时尚手机 智能手机 4G手机 商务手机 女性手机, 不可拆卸式电池, 4x2.2GHz&nbsp;+&nbsp;4x1.5GHz, 3100mAh, 直板, 虚拟触屏键盘, 9mm以下, 2000万, 双摄像头(前后), 1080P(全高清D5), 16GB 64GB, 3GB, 5.2英寸, 电容式, 1920x1080,（103658人气）,
 Huawei/华为, 荣耀7i, 冰川白 沙滩金, Android/安卓,2300.00,2664,, 拍照手机 时尚手机 智能手机 4G手机, 不可拆卸式电池, 4*1.5GHz&nbsp;+&nbsp;4*1.2GHz, 3100mAh, 直板, 虚拟触屏键盘, 9mm以下, 1300万, 后置旋转摄像头, 1080P(全高清D5), 32GB, 3GB, 5.2英寸, 电容式, 1920x1080,（8966人气）,
 Huawei/华为, Mate7标准版, 曜石黑 月光银, Android/安卓,3099.00,883,, 拍照手机 音乐手机 时尚手机 智能手机 4G手机 商务手机 女性手机, 不可拆卸式电池, 4核A15&nbsp;1.8&nbsp;GHz+4核A7&nbsp;1.3&nbsp;GHz+微智核, 4100mAh, 直板, 虚拟触屏键盘, 9mm以下, 1300万, 双摄像头(前后), 1080P(全高清D5), 16GB, 2GB, 6.0英寸, 电容式, 1920x1080,（3870人气）,
 Huawei/华为, 荣耀畅玩5X&nbsp;增强版, 暗夜灰 破晓银 落日金, Android/安卓,1700.00,836,, 拍照手机 时尚手机 智能手机 4G手机 商务手机 女性手机 老人手机, 不可拆卸式电池, 4*1.5GHz+4*1.2GHz, 3000mAh, 直板, 虚拟触屏键盘, 9mm以下, 1300万, 双摄像头（前后）, 1080P(全高清D5), 16GB, 3GB, 151.3*76.3*8.15mm, 电容式, 1920*1080,（1252人气）,
 Huawei/华为, 荣耀畅玩4C, 粉色 金色 白色 黑色 蓝色, Android/安卓,1129.00,6488,, 拍照手机 音乐手机 时尚手机 智能手机 4G手机 商务手机 女性手机, 不可拆卸式电池, 八核&nbsp;1.2GHz/四核&nbsp;1.5GHz+四核&nbsp;1.0GHz, 2550mAh, 直板, 虚拟触屏键盘, 9mm以下, 1300万, 双摄像头(前后), 1080P(全高清D5), 8GB 16GB, 2GB, 5.0英寸, 电容式, 1280x720,（29912人气）,
 Huawei/华为, 荣耀畅玩5X, 暗夜灰 破晓银, Android/安卓,1399.00,349,, 拍照手机 时尚手机 智能手机 4G手机 商务手机 女性手机, 不可拆卸式电池, 4*1.5GHz+4*1.2GHz, 3000mAh, 直板, 虚拟触屏键盘, 9mm以下, 1300万, 双摄像头（前后）, 1080P(全高清D5), 16GB, 2GB, 151.3*76.3*8.15mm, 电容式, 1920*1080,（682人气）,
 Apple/苹果, iPhone&nbsp;5s, 银色 金色 深空灰色, iOS,2688.00,5988,, 拍照手机 时尚手机 智能手机 3G手机 4G手机, 不可拆卸式电池, 双核心, 1228MHz,, 直板, 虚拟触屏键盘,, 800万, 双摄像头（前后）, 16GB 32GB 64GB, 1GB, 4.0英寸, 电容式, 1136x640像素,（56923人气）,
 Xiaomi/小米, 金属灰 湖蓝色 柠檬黄 桃粉色 白色, MIUI, 拍照手机 音乐手机 时尚手机 智能手机 3G手机 4G手机 商务手机 女性手机,1580.00,5772,, 不可拆卸式电池, 六核, 3000mAh,, 虚拟触屏键盘, 9mm以下,, 双摄像头（前后）, 1080P(全高清D5),, 32GB, 3GB, 5.0英寸, 电容式, 1920x1080,（5660人气）,
 Huawei/华为, 荣耀畅玩4X高配版, 金色 前黑后白 黑色, Android/安卓,1408.00,2761,, 拍照手机 音乐手机 时尚手机 智能手机 4G手机 商务手机 女性手机, 不可拆卸式电池, 八核, 1.2GHz,, 直板, 虚拟触屏键盘,, 1300万, 双摄像头(前后), 8GB, 2GB, 5.5英寸, 电容式, 1280x720,（4976人气）,
